"FullName","Length","LastWriteTime"
"D:\QwenPoekt\Base\$null","0","04.03.2026 0:46:59"
"D:\QwenPoekt\Base\.gitignore","1490","02.03.2026 18:01:47"
"D:\QwenPoekt\Base\.resume_marker.json","1720","03.03.2026 19:46:12"
"D:\QwenPoekt\Base\AGENTS.md","7292","04.03.2026 0:44:27"
"D:\QwenPoekt\Base\AI_START_HERE.md","3563","04.03.2026 8:26:26"
"D:\QwenPoekt\Base\ANTI_PATTERNS.md","13337","04.03.2026 0:44:35"
"D:\QwenPoekt\Base\Base.code-workspace","119","02.03.2026 1:47:13"
"D:\QwenPoekt\Base\cleanup-root-mess.ps1","3302","02.03.2026 16:24:43"
"D:\QwenPoekt\Base\create-bridge.bat","3169","02.03.2026 15:42:47"
"D:\QwenPoekt\Base\ERROR_LOG.md","17610","04.03.2026 8:39:28"
"D:\QwenPoekt\Base\git_log_kb.txt","2199","03.03.2026 21:30:31"
"D:\QwenPoekt\Base\LINKS.md","8092","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\mcp-session-saver.js","9428","03.03.2026 17:44:44"
"D:\QwenPoekt\Base\mcp.json","261","03.03.2026 17:20:09"
"D:\QwenPoekt\Base\mcp.json.pid","174","03.03.2026 20:08:33"
"D:\QwenPoekt\Base\Microsoft.PowerShell_profile.ps1","4235","02.03.2026 19:28:09"
"D:\QwenPoekt\Base\NOTES.md","8448","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\package-lock.json","40222","03.03.2026 17:39:14"
"D:\QwenPoekt\Base\package.json","513","03.03.2026 17:39:14"
"D:\QwenPoekt\Base\POST_MORTEM_TEMPLATE.md","13380","02.03.2026 20:18:22"
"D:\QwenPoekt\Base\PRE_ACTION_CHECKLIST.md","13344","02.03.2026 20:16:17"
"D:\QwenPoekt\Base\PRE_CHANGE_CHECKLIST.md","11049","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\QWEN.md","424","02.03.2026 1:31:31"
"D:\QwenPoekt\Base\QwenPoekt.code-workspace","146","02.03.2026 1:40:46"
"D:\QwenPoekt\Base\README.md","10369","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\RULES_AND_TASKS.md","8785","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\SEAMLESS_START.md","4925","04.03.2026 8:39:28"
"D:\QwenPoekt\Base\SESSION_MANAGEMENT.md","10585","04.03.2026 8:39:28"
"D:\QwenPoekt\Base\tasks-dag.json","1430","04.03.2026 0:42:40"
"D:\QwenPoekt\Base\test-mcp.js","2677","02.03.2026 16:01:54"
"D:\QwenPoekt\Base\_TEST_ENV_START_HERE.md","7523","04.03.2026 0:45:16"
"D:\QwenPoekt\Base\ЗАПУСК_QWEN_CODE.md","11415","04.03.2026 8:39:28"
"D:\QwenPoekt\Base\ТЕКУЩАЯ_ЗАДАЧА.md","6024","04.03.2026 12:00:11"
"D:\QwenPoekt\Base\.qwen\ai-structure-analysis.md","19660","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\backup-strategy-notes.md","13717","03.03.2026 0:29:43"
"D:\QwenPoekt\Base\.qwen\backup-todo.md","7256","03.03.2026 0:13:02"
"D:\QwenPoekt\Base\.qwen\CURRENT_CONTEXT.md","9344","03.03.2026 18:16:54"
"D:\QwenPoekt\Base\.qwen\deep-analysis-methods.md","13122","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\information-processing-methods.md","12987","03.03.2026 1:59:57"
"D:\QwenPoekt\Base\.qwen\MY_BRAIN.md","20521","04.03.2026 8:39:28"
"D:\QwenPoekt\Base\.qwen\QWEN.md","41149","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\session-rules.json","1752","02.03.2026 22:26:27"
"D:\QwenPoekt\Base\.qwen\settings.json","895","02.03.2026 20:47:24"
"D:\QwenPoekt\Base\.qwen\tasks-optimization.md","7860","03.03.2026 2:34:37"
"D:\QwenPoekt\Base\.qwen\agents\build-master.md","4362","28.02.2026 12:47:50"
"D:\QwenPoekt\Base\.qwen\agents\code-reviewer.md","5630","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\agents\documentation-writer.md","5059","28.02.2026 12:47:50"
"D:\QwenPoekt\Base\.qwen\agents\learning-agent.md","11022","28.02.2026 13:30:22"
"D:\QwenPoekt\Base\.qwen\agents\LEARNING_AGENT_RESOURCES.md","5427","28.02.2026 12:58:57"
"D:\QwenPoekt\Base\.qwen\agents\README.md","8688","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\agents\security-analyzer.md","4649","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\agents\test-writer.md","5383","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\rules\00-auto-context.md","6472","03.03.2026 20:37:46"
"D:\QwenPoekt\Base\.qwen\rules\01-core.md","10120","04.03.2026 12:41:23"
"D:\QwenPoekt\Base\.qwen\rules\02-workflow.md","7970","04.03.2026 10:15:31"
"D:\QwenPoekt\Base\.qwen\rules\03-git.md","6251","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\rules\04-safety.md","6515","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\rules\05-commands.md","8149","03.03.2026 20:41:32"
"D:\QwenPoekt\Base\.qwen\rules\06-resume.md","9610","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\rules\07-session-persistence.md","9328","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\rules\08-mass-operations.md","8289","04.03.2026 0:01:52"
"D:\QwenPoekt\Base\.qwen\rules\08-mcp-saver.md","2308","03.03.2026 17:45:41"
"D:\QwenPoekt\Base\.qwen\rules\09-logic-and-analysis.md","11313","03.03.2026 11:38:18"
"D:\QwenPoekt\Base\.qwen\rules\10-think-before-action.md","12026","04.03.2026 9:37:55"
"D:\QwenPoekt\Base\.qwen\rules\11-knowledge-sufficiency.md","13520","04.03.2026 11:11:40"
"D:\QwenPoekt\Base\.qwen\rules\12-software-best-practices.md","15061","04.03.2026 11:29:46"
"D:\QwenPoekt\Base\.qwen\rules\13-user-alignment.md","12154","04.03.2026 13:53:48"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\0deeb2fec52624e647be__mypyc.cp314-win_amd64.pyd","168960","04.03.2026 8:50:39"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\distutils-precedence.pth","151","04.03.2026 8:50:25"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\isympy.py","11220","04.03.2026 8:50:14"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\mmh3.cp314-win_amd64.pyd","51200","04.03.2026 8:50:37"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc\main.py","1075","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc\py.typed","0","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc\__init__.py","52","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc\__pycache__\main.cpython-314.pyc","2555","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc\__pycache__\__init__.cpython-314.pyc","254","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc-0.0.4.dist-info\entry_points.txt","34","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc-0.0.4.dist-info\INSTALLER","4","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc-0.0.4.dist-info\METADATA","6566","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc-0.0.4.dist-info\RECORD","868","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc-0.0.4.dist-info\WHEEL","90","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_doc-0.0.4.dist-info\licenses\LICENSE","1086","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types\py.typed","0","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types\test_cases.py","6421","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types\__init__.py","13819","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types\__pycache__\test_cases.cpython-314.pyc","14497","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types\__pycache__\__init__.cpython-314.pyc","23605","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\INSTALLER","4","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\METADATA","15046","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\RECORD","802","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\WHEEL","87","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\licenses\LICENSE","1083","04.03.2026 8:50:40"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\from_thread.py","19141","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\functools.py","10973","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\lowlevel.py","5158","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\py.typed","0","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\pytest_plugin.py","10244","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\to_interpreter.py","7100","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\to_process.py","9798","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\to_thread.py","2687","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\__init__.py","6170","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_eventloop.py","10749","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_resources.py","783","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_sockets.py","13258","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_streams.py","7640","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_subprocesses.py","2067","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_tasks.py","3721","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\_testing.py","1821","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\__init__.py","2869","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\__pycache__\_eventloop.cpython-314.pyc","22585","04.03.2026 8:50:52"
"D:\QwenPoekt\Base\.venv\Lib\site-packages\anyio\abc\__pycache__\_resources.cpython-314.pyc","2083","04.03.2026 8:50:52"
